is_spam,text
0,"Up to you (i think it's fine), or you can ask yyc to do some batch cropping since he has the original photos"
1,We have place suspicious transaction of XXXX on hold Please visit the site below immediately to approve cancel the payment anzshields.com
1,exciting offers on plus size fashion  alto moda by pantaloons get a rs gift voucher on shopping for rs also get  discount on footwear mens  ladies  handbags  wallets  belts from our exclusive brands on shopping from alto moda hurry offer ends  may tc
1,moonson saleunlimited download at just rs stardust special pics httpwaphandygocombsnlnfeveroffer
0,Ohh okay we'll reach about the same time!
0,Thanx for e food. Didnt expect u give me so much. Ok enjoy ur dinner.
0,Hey Congrats!! Good stuff :-)  let me know date and time of treat :-P
1,stock up on yummy gourmet snacks with a flat  off  natures basket every foodie friday all may shop at storeonline httpbitdofoodiefriday
0,Orh.. U nv spell short cut ar.. Hehe. Then thanks...
1,Call XX Auto on XXXXXXXXXX for Mercedes Benz C Class XXXX USER .23.5 Lakh http://carwale.page.link tfpoA CarWale
1,dominos super value friday buy  pizza get  free cpn mob today also win australia trip iphone n lot more cricfeast call  orderonline mobile t c
1,metro wholesale christmas offer free kgsugar only for your metro card no  on min purchase of  show sms freebie counter till dec tca
0,m eatin too much n puttin on weight...Haha... So anythin special happened?
0,can help me return my library books?
0,Imagin d world widout girls...Parks empty Theatres silent Police at rest Mobile company on loss No naach  no gaana n evrywhr karan johars Dostana....
1,"Haba Haba You can now make contribution directly into your NSSF account simply and conveniently through NSSF Mini App Click http://mpesaapp.page.link/NSSFEnd month DEAL Buy 6kg cooking gas refill for 1,315/- 13kg for 2,850/ only on the ProGas mini app Click http://mpesaapp.page.link/progas"
0,Heee. Laopo!! Im the luckiest guy. Kisss and hugs
0,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
1,lda allotted ready to move  bhk premium luxury  green facing  flats available on pay only  no emi till possession festival dhamaka offer worth  lacs free booking lac only offer  for limited flats  contact 
1,USPS the arranged delivery time of the package 1z31571 get postpone Please verify here YOKIKO 92fzs.info/ A45tvk6yKh
1,Apollo 24/7 Become a CIRCLE member and enjoy priority access to top doctor exclusive discount personalize healthcare solution Click weurl.co/OfWCEx to sign up
1,Drive a Nissan NP300 or NP200 now and pay your first instalment in January XXXX Only at Group X Nissan Ts Cs apply Call XXXXXXXXXX or reply yes STOP OUT
0,Haha orh! what are you now? I'm listening to symphony  <DECIMAL> !Haha what my voice isn't exactly nice:/ haha yeah lor! Oh no! Hahahaspam dl aft exams:D
0,"Wensin's! Haha keep falling asleep!! Going bathe now, finally grandmacane out of toilet!"
1,"Here are some latest luxury bridal photoshoot of the gorgeous actress of Pakistan Ayeza Khan! For pictures, click the link: http://l.jazzmobilemag.pk/ZV5U7rK/a56b"
0,"thanks alot for ur efforts, i just commented that particular portion and moved ahead."
0,"Haha still got cough sad face! Wow so you were doing your personalstatement? Hahaha interesting dream! Tell me about it sometime!  <#>more mins eryi!! Yeah!! Haha I thought it was okay, honestly I onlywent to read 2 qns yesterday coz I felt v bad about it x.x"
0,"Mr leong im reaching bendemeer in  <#>  minutes time, can I meet youto collect the forms?"
0,Icic. It depends on u. Haha. Do share with me what are the standardquestions. Good! Excellent!
1,Hey Take a few minute to participate in this guided meditation 3:28 min http://bit.ly/3enjXuk
1,Please order a test kit immediately uk-health department.com
0,"Haha coz just now slacking in wensin's room, then I said I want toleave first haha so I came down by myself first! Haha I haven'ttouched since last week! Last time it was on was when you used onMonday:P shouldn't have brought to hostel haha! haha yay!(: pat back:Phaha okay but I dunno how to ask him! Tmr lend me your phone I sms himHAHA."
0,Nope but I'll be going next week!(:
0,Do not go out . here it pours . if it stops raining I go out later
0," Sorry, I couldn't reply earlier. ?? Things got a bit busy."
0,No..but heard abt tat..
0,Leave it. U will always be ignorant.
1,Your account have be suspend on 29th May To begin begin verification process visit http://internetbanking.tsb .verifybycode.co.uk or a local branch
0,Yay back home liao. <#> . Whachudoin?
0,hehehhahahhaha free beer loads of beer p
0,Ehh.. when u free?
0,m going back to yck ah... ├£ wait there
1,only for today  body massagemoksh spa  rs   in k or  in k  trained female therapist luxury roomsthe pllazio hotel sec gurgaon call
1,vodafone shera internet offer now get  gb g data on recharge of rs for  days dial  for more data offers
0,I hope sense prevails
0,Okie... A bit messy though... Cya...
0,In that case I guess I'll see you at campus lodge
1,Parler Alerts Melania Trump 's first Limited Timed Edition NFT end 12/31 Wo n't be re release See `` Melania 's Vision '' here bit.ly/3HhD2xh
0,s guinea pigs? Fri-mon. She goin genting...
1,DEAR ABSA CLIENT YOUR ACCOUNT HAS BEEN LOCKED DUE TO COVID XX SECURITY UPDATES TAP AND LOGON -- http://bit.ly/ absasecure XXXX TO RESTORE ACCESS TO ACCOUNT ABSA
0,s nt goin cos she nvr go 4 any camps one... Hey tmr meet at 130 at e busstop near my hse k.U noe how to go rite...
0,what time r u leaving school?
0,What's up my dearest cousin?
0,"Hey, i just wanted to let you know i cant come over tomorrow now, sorry! i have to work a double shift ><"
1,your best offers through gift box recharge 
0,"Haha still got Dillon right! Oh yeah and vivien! Haha we got enoughppl le haha (: Sophie say de,I dunno how many though! Haha jiayiprolly pulled some strings bah! Haha no lah I think will be quite laxde lor, just that I cannot pull the boat!"
1,Thursday XX September XXXX A temporary block have be place on your ANZ account until an account holder confirm his identity by click on the link http://digital-anz.co.nz
0,LOL SORRY I WASN'T CHECKING MY PHONE! yeah he so nice right:D hahahawhat happened!!! You got alot of stuff to tell me!!
0,i will be free from class at  will that work for you 
0,"Hp running flat meet at Ikea restaurant. May be late, because oldinspection center closed down. Now at jurong."
1,Find your vehicle with a CARTRACK device from as little as R99pm Reply YES we call you Stop to optout T Cs apply
0,You are back in sg?
0,Oh ho. Is this the first time u use these type of words
0,Yea. Thks
1,NHS In light of new regulation you be now require to apply for a mandatory Omicron PCR test You be require to report Results to https //www.gov.uk/report
0,"Btw, how's e footage captured by chunmin?"
1,dear member lets beat the cancer get cervical cancer vaccine at lowest price ever rs only save more than  from mkt price rs applicable for only females dont ignore book now tca logon to httpwwweuorhealthcomofferbookingphppackageid or call ustollfree now
1,Dear Customer Your HDFC Bank Account Will be Suspended Please update your re-kyc click here link http://bit.ly/2XKAGPO
0,are you free tonight?
0,"Haha icic! Haha so nice:P see he went into the kitchen! Haha the raindamn shiok^^ sadly now not raining liao): I want to do chinese, thenmy bro being retarded again don't want focus on his sci revision, keepwatching videos on his phone, so I shouted at him, scolded him andtook his phone away, now he don't want to do his revision, I shouldjust lock him up in an empty room with only him and his science stuffinside. Very very angry with him. What are you all doing today!(:"
1,Ru worry confuse look for best social medium and mobile base marketing option or virtual private exchange service as well Then we will be the best option for you
1,Dear Customer Congratulations You have win e Gift voucher worth Rs.200 from HDFC Bank Activa tion Campaign for Mar'19 Give a msd call on +918880962211 for Amazon e Gift voucher s or on +919513669695 for HP Fuel e Gift voucher s or on +919513674010 for Book My Show voucher s from your register Mobile Number within 8th Nov'19 T C
1,kitchen combo prestige  burner glass gas   pcs premium cookware set  bati tandoor pan starts   call  now get extra  off coupon 
0,But he's out?
0,Where do I go when I reach there?
0,Can can.  What flavour?
0,K k:) sms chat with me.
1,"Get ready for J. Pakistan Day Gala Sale. Avail FLAT 23% and 40% off on all items, starting from 8th March! Instores and online: bit.ly/3Yt8PDI"
1,Click here https://mobucks.vodacom.co.za/a/pnp to see PnP Mulbarton 's weekly Massive Savings Valid until X May open 8AM-5PM.Drive Thru Available.SMS STOP XXXXX
1,mothers day special  hurry flat  off on ladies watches from th  th may  world of titan mall rd ph  
0,Yeap but can postpone  <#> mins later.
1,You have refund of ├é┬ú XXX from an overpayment http://www.a.r.g.o.s.co.uk.existing -mobile-customer-gateways.com
0,Thanks for reminding. I sumit le.
0,One more! Coming over! Finally! =)
0,Lol it's the same Indian TA la so u think he dunno meh hahahaha.
0,Ehhh then how you want me to help?
1,dear sirmadam  greetings from seva automotive  seva maruti driving school is happy to offer  discount on learning driving under young india scheme to age group    years hurry rush to get enrolled offer for limited period for details please contact on   for latest update follow us on facebook httpswwwfacebookcommarutiseva
1,book ur dream home bhk just in rs  nothing till monthsat prime location on nhopt columbia hospitalghaziabadcall 
1,bhksq ft l only by raheja developer at sohna road gurgaon easy  pay plan luxury apartments with aravali view to book sms maha to 
0,"In case your stomach ache gets better and you decide to go, pls inform me n we can meet at 7 at Aljunied."
1,Your Apple ID have be lock for security reason We 've detect that someone have ben use your Apple ID from unknown device and location iPhone X Japan 192.156.2.34 You can unlock your account by complete verification your account http://go2l.ink/1yms
0,"Yah loh... And im still thinking of who to ask out....  Ok, hope you have a lovely day ahead. Good nite!"
0,s borin me to death...
1,Dear SBI user your SBI YONO Account will be block today Please click here link update your PAN CARD Number http://bit.ly/2ZrKF3Q
0,where is it ?
0,cannot la.. long hair not nice.. short hair nicer.. reali... haha.. no la.. still fren..btw.. y dun wan to cut?haha..
0,As in right after math or bio
0,"Psle olvl cert, bank book, ic"
0,What do you mean non-rounding harmony?
1,Your DHL parcel be out for delivery TODAY Track or divert your parcel here http://ask.tulingxueyuan .cn/z.php 17xskggfl
0,go for tech
1,Yo u 've get a new voice message from your doctor
1,happy holi get exorbitant offerseasons fine dine restaurant discount on food also more info click httpsgooglxofxds
0,"My dear ~~ call you until i'm falling asleep le ~ shall asleep for<#>  mins haha, hope you suddenly wake up or sth soon! Don't be latefor your jam session!"
1,You have a refund of ├é┬ú XXX for your argos card please confirm your detail to activate your refund argos.authupdates.com
1,If nobody 's home we 'll look for a safe place to leave it.Your parcel be come today between 10:55am-12:55pm If nobody 's home we 'll look for a safe place to leave it.We attempt to deliver your parcel however nobody be available to receive it Toschedule your redelivery now go to http://auspost.deliver
0,Happy birthday and happy new year!
0," Hey, u coming 2 the party? It'll be wild!"
0,Fuck babe ... What happened to you ? How come you never came back?
1,Dear customer '' congratulation '' in FYND online shopping company you be second lucky winner in TATA nexon car contact us aministration:8617777864
0,Leave the door unlocked please :)
1,Westpac Your account have be temporarily restrict To continue use our service visit http://wpb.mobile confirmation.services to confirm your device
1,"Limited Time Offer! Dial *345*87# to get 8GB Data (FB&WA)250 Telenor Mins &25 Other Network Mins for 30 days in Rs 85 only! No call setup charges will apply Your Monthly offer is about to expire tomorrow. Subscribe today to get 3500 Telenor/PTCL mins, 300 Offnet and 20 GB data at discounted Rs. 720 for 30 days"
0,Then how? Which mod did u take?
0,Haha things for 4 days lo. Shoes.
0,730. Me now at home waiting for my sis.
1,offer of day rstt  rstt now get  stdlocal sec valid fr  day at rs valid for today unlimited local call  rs for validity cal 
0,"xy:Later i might be going suntec or orchard, u wan 2 go or not?"
1,SALE on Electric Sit Stand Desk White Black In Stock XX Year Warranty Free Shipping until June XX Buy now http://bit.ly/sitstanddesks 12:12
1,download livin app now and enjoy live streaming tv channels  a big collection of hollywood blockbuster  arabic movies and catch up on your favorite tv programs within  days from the premier only at  kdmonthly  just send l to  and enjoy  httplivintvan  
1,th anniversary offer  mens formal shirts by henry hudson rs free maxima watch win rs lakh gold watch homeshop today at pm call 
1,meet the bollywood divas get images of sonam dips pc genelia click httptinyurlcomosyne to download for free
1,Dear Customer Reference your DND SR SR00000J3W83 the concern operator have revert that no action have be take since the report SMS relate to your opt preference category commercial communication
1,dear subscriber  we are pleased to inform you that we are launching mobile application for service ilf stayupdated on  as you are our esteemed customer  you will receive a free trial for  weeks we will send you the link for free download on the date of launch regards  indian lawyers forum
1,ride at just rskm with taxiforsure in delhi  ncr use code del base fare as applicable offer valid for first  km after which regular fares would apply
1,adelaide  st ti india crush australia by  runs to take a  lead in the match series ind posted  for   thanks to virat kohlis unbeaten  off  balls in reply aus were bowled out for  with jasprit bumrah getting  wickets while ashwin  jadeja and pandya got  each source ndtv
1,Dear 9000234You Are Selected for Amazon Gift Card Worth Upto
